HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,Transported
0,0,3485,2,24,0,1
0,1,5331,0,9,0,1
0,1,5331,2,6,0,0
0,0,3442,2,27,0,0
2,0,1182,2,21,0,0
0,1,5348,2,23,0,0
0,0,5348,2,31,0,0
0,0,5348,2,0,0,1
1,0,6156,2,32,0,0
1,0,528,2,40,0,0
1,0,528,2,42,0,1
1,1,528,2,28,0,1
1,1,2121,2,29,0,1
1,0,151,0,48,1,1
0,0,3470,2,64,0,1
0,0,5364,2,27,0,0
2,0,3484,2,26,0,1
1,0,1314,2,33,0,1
0,0,0,2,39,0,0
1,1,0,2,13,0,1
2,1,3500,2,24,0,1
0,0,5377,2,29,0,0
0,0,3523,2,18,0,0
2,1,3524,2,67,0,1
2,0,2141,2,35,0,0
2,0,1304,2,61,1,0
2,0,2158,2,45,0,0
0,1,5396,1,22,0,1
2,1,3551,2,19,0,1
2,0,1330,2,36,0,0
0,0,5315,2,19,0,1
0,0,5410,1,47,0,0
0,1,5330,2,13,0,1
0,0,1987,2,34,0,0
1,1,979,0,35,0,1
0,1,5347,2,24,0,1
0,0,3550,2,26,0,0
2,0,3566,2,31,0,0
0,0,3579,2,20,0,1
0,0,5432,2,56,0,0
0,1,5448,2,50,0,1
2,0,3578,2,42,0,0
0,1,5467,0,28,0,1
0,1,5363,0,38,0,0
0,0,3594,2,41,0,0
0,0,5395,2,22,0,0
1,1,567,2,26,0,1
1,1,567,2,17,0,1
0,0,5485,2,57,0,1
0,1,5485,1,17,0,0
2,1,3657,2,35,0,1
2,1,3632,2,13,0,1
2,0,3632,2,27,0,0
0,1,5409,2,31,0,0
0,0,1410,2,24,0,0
0,1,5515,1,19,0,1
0,1,5419,2,32,0,1
0,0,1425,2,58,0,1
0,0,3673,0,21,0,0
1,0,308,2,38,0,0
2,0,1345,2,38,0,0
0,0,5447,2,19,0,1
0,0,5447,2,0,0,0
0,0,5447,2,3,0,1
0,0,5466,2,20,0,0
1,1,902,2,24,0,1
0,0,3646,2,37,0,1
0,0,5484,2,25,0,0
0,1,5530,2,56,0,1
0,0,2157,0,49,0,0
0,1,5545,0,11,0,0
0,1,5498,2,1,0,1
0,0,5498,2,8,0,0
0,0,5498,2,39,0,0
2,1,3707,2,2,0,1
2,0,3707,2,23,0,0
2,0,3707,2,0,0,1
2,0,3728,2,39,0,1
2,0,1329,1,25,0,0
1,0,961,2,36,0,0
0,0,5514,1,52,0,1
0,1,5558,2,18,0,0
0,1,5529,2,15,0,1
1,1,462,2,35,0,1
1,1,462,2,47,0,1
1,1,583,0,45,0,1
1,0,23,0,28,0,1
1,1,1006,2,51,0,1
0,0,5570,2,29,0,0
1,0,1022,0,28,0,1
0,1,5544,1,19,0,0
0,1,1344,0,24,0,1
2,0,3762,2,29,0,1
2,1,3762,2,11,0,1
2,0,3762,2,17,0,0
0,0,2169,2,13,0,0
0,0,3775,2,35,0,0
0,0,3789,2,21,0,0
0,0,3697,0,21,0,0
0,0,3805,2,38,0,0
0,1,5600,2,19,0,1
0,1,5615,2,2,0,1
0,0,5615,2,0,0,1
0,1,5615,2,13,0,0
0,0,1409,2,25,0,0
0,0,3818,2,16,0,0
0,0,5615,0,1,0,0
0,1,5615,2,15,0,1
2,0,1454,0,21,0,0
2,0,1454,2,23,0,0
2,0,1454,2,33,0,0
2,1,1454,2,21,0,1
2,0,1454,2,41,0,0
2,0,1454,2,16,0,0
2,1,1454,2,42,0,0
2,0,3708,2,20,0,0
2,1,3708,2,24,0,1
2,1,1468,2,16,0,1
0,0,5586,2,21,0,0
2,0,3729,2,32,1,0
0,1,5630,1,58,0,1
0,0,3746,2,24,0,0
2,0,3763,2,30,0,0
0,1,5601,1,27,0,0
2,0,3776,2,32,0,0
0,0,3845,2,43,0,0
1,1,166,2,42,0,1
2,0,6156,2,37,0,0
2,1,3872,2,35,0,1
1,0,1424,0,33,0,0
0,0,3790,2,18,0,0
0,1,5616,2,21,0,0
2,1,6156,2,43,0,1
2,1,3806,0,14,0,1
1,0,978,0,46,0,1
1,0,978,2,33,0,0
2,0,1377,2,21,0,0
1,0,599,2,33,0,0
0,1,5631,1,47,0,0
0,1,613,0,54,0,1
0,0,3888,2,30,0,0
0,0,5686,2,29,0,0
0,0,3903,2,21,0,1
1,1,44,2,24,0,1
2,0,3832,0,21,0,0
2,1,3832,2,60,0,1
0,0,3846,2,22,0,0
1,0,1497,2,26,0,0
0,0,3932,2,26,0,0
0,1,5702,2,28,0,1
1,1,1378,2,39,0,1
0,0,3858,2,13,0,0
0,0,3873,0,47,0,1
0,0,3973,2,63,0,0
1,1,1392,0,28,0,1
0,0,4003,0,50,0,1
0,0,6156,2,35,0,0
0,0,5731,2,45,0,0
0,0,4026,2,19,0,1
0,0,3904,2,21,0,1
0,1,5748,1,29,0,1
0,0,4040,2,22,0,1
1,1,1496,2,14,0,1
1,1,1496,0,42,0,1
0,0,4055,0,57,0,0
1,1,6156,0,39,0,1
1,0,184,2,28,0,0
0,0,3917,0,19,0,0
1,1,630,0,19,0,1
1,0,556,0,26,0,1
1,1,556,2,17,0,1
1,0,556,2,43,0,1
1,0,556,0,9,0,1
1,0,1037,2,40,0,1
1,1,568,2,50,0,1
0,0,5763,2,24,0,1
1,1,43,0,57,0,1
0,1,6156,2,16,0,0
0,0,4080,2,23,0,0
0,1,5674,2,23,0,1
1,0,1526,2,28,0,0
1,0,991,0,23,0,0
0,0,1542,2,23,0,0
0,0,3974,2,18,0,1
0,0,3990,2,18,0,0
1,0,6156,2,67,0,0
0,0,4093,1,60,0,1
0,1,5799,0,28,0,1
0,0,4093,0,49,0,1
0,0,5799,0,0,0,1
0,0,5817,0,26,0,0
0,1,5687,1,35,0,1
1,0,584,2,24,0,1
1,1,584,2,20,0,1
0,0,5717,2,18,0,0
0,0,5717,2,21,0,0
0,0,4004,2,59,1,0
0,1,5732,1,13,0,0
0,1,5847,0,43,0,0
0,1,5764,2,29,0,0
0,0,6156,2,19,0,1
1,0,655,2,2,0,1
1,0,655,2,32,0,1
1,0,655,2,33,0,0
0,0,4152,2,25,0,0
2,1,4164,0,29,0,1
2,0,4014,2,29,0,0
0,0,4177,2,44,0,0
2,1,4027,0,2,0,1
2,0,4027,2,19,0,1
2,0,4027,0,0,0,1
0,1,5781,2,18,0,1
1,1,152,0,38,0,1
0,1,5912,1,5,0,0
0,0,4207,1,31,0,0
2,1,1571,2,30,0,0
0,1,5941,0,15,0,1
2,0,4041,2,27,0,0
2,0,1066,2,22,0,1
2,0,6156,2,36,0,1
0,1,5956,1,14,0,1
2,0,4236,2,23,0,0
0,1,6156,2,18,0,1
1,1,231,0,36,0,1
0,0,4056,2,41,0,0
0,1,5800,2,50,0,1
0,1,5800,1,32,0,1
0,0,4066,1,26,0,0
0,0,4081,2,15,0,0
0,0,4094,0,33,0,1
0,0,5818,0,28,0,0
2,0,4298,2,26,0,0
2,1,4298,2,61,0,1
0,0,5848,2,24,0,1
0,0,4308,2,30,0,0
2,1,4322,2,24,0,1
0,0,4335,2,24,0,0
0,1,5987,2,41,0,0
0,0,1585,2,20,0,0
0,0,5866,2,22,0,1
1,0,674,0,63,0,0
1,0,167,0,18,0,0
1,1,167,0,21,0,1
1,0,167,2,79,0,0
1,1,167,2,56,0,1
1,1,167,2,13,0,1
1,0,167,2,33,0,0
1,1,167,2,32,0,1
0,0,5999,2,31,0,1
1,1,6156,0,26,0,1
1,1,246,0,18,0,1
1,1,246,0,38,0,1
0,0,6014,2,23,0,0
0,0,5883,2,28,0,0
0,1,5883,1,34,0,0
0,0,5898,0,0,0,1
0,0,5898,2,14,0,1
0,0,6032,2,23,0,0
0,1,6049,2,49,0,0
0,1,5913,2,14,0,0
0,0,1595,2,18,0,0
1,0,1021,1,27,1,1
0,0,1609,2,48,0,0
1,0,262,0,31,1,0
1,0,262,0,61,0,0
0,1,5942,2,18,0,1
2,1,4105,2,45,0,1
2,0,1084,2,22,0,0
2,0,1096,2,30,1,0
2,0,1096,2,30,0,0
0,1,1114,0,32,1,1
2,0,1083,2,43,1,1
0,0,4393,0,17,0,0
0,0,6094,2,23,0,0
0,0,4407,2,20,0,0
0,1,6094,2,39,0,0
2,0,1625,2,35,0,0
2,0,4136,2,31,0,0
0,0,4153,0,21,0,0
0,0,4422,2,16,0,0
1,0,612,2,60,0,1
0,0,4439,2,18,0,0
0,1,5957,2,42,0,0
1,1,277,0,68,0,1
1,0,277,0,22,0,0
1,1,277,2,59,0,1
1,0,293,2,28,0,1
2,0,4498,2,37,0,0
2,1,4498,2,3,0,1
2,1,4498,2,31,0,1
1,0,1639,2,31,0,1
1,0,692,2,29,0,1
1,0,70,0,20,0,1
1,1,70,0,46,0,1
0,0,4194,2,29,0,1
2,1,4513,2,43,0,1
2,0,4208,2,17,0,0
1,0,309,0,27,0,1
1,0,309,2,47,0,0
2,1,4223,2,45,0,1
0,1,5988,2,17,0,1
0,0,6000,0,10,0,1
0,0,6000,1,56,0,0
0,0,4237,2,39,0,0
0,0,4237,1,40,0,0
1,1,199,2,40,0,1
1,0,644,0,34,0,0
0,0,4252,0,32,0,0
0,0,4524,2,35,0,0
2,0,1113,2,32,1,0
0,0,4540,2,26,1,0
0,0,4270,2,25,0,0
0,0,1626,2,26,0,0
1,1,326,0,22,0,1
0,0,4281,2,22,0,1
0,0,1656,2,24,0,0
0,1,6122,1,32,0,1
0,1,6015,2,11,0,1
2,1,1640,2,22,0,1
1,1,214,2,19,0,1
1,1,6156,0,34,0,1
1,1,214,2,74,0,1
1,0,232,0,28,1,1
1,1,232,2,42,0,1
1,1,232,2,43,0,1
0,0,4309,2,55,0,0
0,0,6134,1,19,0,1
0,1,6134,2,6,0,0
0,0,6134,2,7,0,0
1,1,1125,0,28,0,1
0,0,4323,2,15,0,0
0,1,6033,1,24,0,1
0,0,1657,1,31,0,1
0,0,4336,2,22,0,1
0,0,6050,0,1,0,1
0,1,6066,2,50,0,0
2,0,2189,2,34,0,0
2,0,2189,2,14,0,0
0,0,1669,2,19,0,0
0,0,1669,2,28,0,1
0,0,2209,2,36,0,0
0,1,6156,2,34,0,0
2,1,4353,0,25,0,1
0,1,4353,2,36,0,1
1,0,341,2,16,0,0
1,0,341,0,30,0,1
0,0,4367,1,37,0,0
0,1,6095,0,15,0,1
0,0,1682,2,36,0,0
2,0,2235,1,27,0,0
2,1,2235,2,27,0,1
2,1,2235,2,12,0,1
0,0,1698,2,22,0,0
0,0,6165,2,27,0,0
0,1,6109,2,13,0,1
0,0,1670,2,27,0,0
0,0,4381,2,28,0,0
1,0,263,0,21,0,0
1,0,734,2,39,0,0
0,1,6195,1,28,0,0
0,1,6123,2,14,0,1
1,1,6156,0,27,0,1
1,1,278,0,46,0,1
2,1,4394,0,27,0,1
2,0,1683,2,21,0,0
2,0,1169,0,21,0,1
1,0,1726,2,42,0,0
2,0,6156,2,22,0,0
2,0,4408,2,10,0,1
2,0,4408,2,43,0,0
2,0,1714,2,42,0,0
1,1,294,0,18,0,1
1,1,294,0,54,0,1
1,1,294,2,24,0,1
1,0,294,2,64,0,0
1,1,294,0,18,0,1
0,1,294,0,53,0,1
2,1,4423,2,23,0,1
0,0,6166,2,39,0,1
1,0,691,2,59,0,1
1,0,1153,0,32,0,1
1,1,1153,2,55,0,1
0,1,6220,1,21,0,1
1,1,310,2,50,0,1
1,0,90,0,55,0,0
0,0,2314,2,28,0,0
0,1,4440,2,35,0,1
0,1,6208,2,28,0,1
0,0,6221,2,55,0,0
0,0,1727,2,23,0,1
0,0,1741,2,42,0,0
0,0,1742,2,35,0,1
0,1,6156,2,47,0,1
2,0,4453,0,28,0,0
2,1,4453,2,34,0,1
1,0,703,2,46,0,0
0,1,6266,1,26,0,0
0,1,6281,0,1,0,0
0,1,6281,0,28,0,1
2,0,1194,2,33,0,0
1,0,354,2,34,0,0
1,0,354,2,49,0,0
0,0,6293,2,22,0,0
0,0,2331,2,28,0,1
1,1,719,2,28,0,1
1,1,719,0,36,0,1
0,1,719,0,30,0,1
1,1,719,2,49,0,1
1,0,719,2,38,0,0
2,1,4482,2,31,0,1
0,0,4482,2,17,0,0
0,0,6311,2,26,0,0
0,0,2347,2,23,0,0
0,0,4499,0,24,0,0
0,0,4514,2,23,0,0
0,0,1782,2,24,0,1
2,0,1170,1,32,0,1
2,1,4525,2,43,0,1
0,0,4541,2,23,0,1
0,0,6250,2,42,0,0
1,1,765,0,29,0,1
1,1,733,2,40,0,1
1,0,733,2,37,0,1
1,1,751,0,61,0,1
1,0,751,2,33,0,0
0,0,2190,2,19,0,1
0,0,2222,1,21,0,0
0,0,6267,2,4,0,0
0,0,6267,1,12,0,1
0,0,2236,2,44,0,1
0,0,6282,2,22,0,0
2,0,2392,0,33,0,0
1,1,369,0,32,0,1
1,1,369,2,28,0,1
1,0,369,2,28,0,0
2,0,2410,2,31,0,0
2,1,1795,2,13,0,1
0,1,6294,2,14,0,1
1,0,1183,2,33,0,0
1,1,1183,0,28,0,1
0,0,2423,2,23,0,1
1,0,780,2,36,1,1
1,1,764,0,22,0,1
1,1,764,2,19,0,0
1,1,764,2,42,0,1
1,1,764,2,30,0,1
1,1,764,0,16,0,1
1,0,764,2,55,0,0
1,1,764,2,55,0,1
0,0,2257,2,19,0,0
0,0,2439,2,28,0,0
1,1,1758,2,18,0,1
0,0,2285,2,21,0,0
0,0,6339,2,65,0,0
0,0,2301,2,55,0,1
0,0,6327,2,50,0,0
0,1,6352,2,49,0,1
0,0,1812,2,22,0,0
2,1,2454,2,33,0,1
2,1,2315,2,3,0,1
2,1,2315,2,0,0,1
2,1,2315,2,33,0,1
2,1,2483,2,48,0,1
2,1,2483,2,5,0,1
2,0,1208,2,23,0,0
1,1,1225,2,53,0,1
2,0,2500,2,18,0,0
0,1,6384,1,20,0,0
0,0,1771,2,23,0,0
0,0,6403,2,48,0,0
0,1,6340,1,19,0,0
2,0,1238,2,28,0,0
0,0,6353,0,9,0,0
0,0,1830,2,24,0,0
2,0,2529,2,46,0,1
0,1,6419,2,23,0,1
0,1,6419,2,21,0,0
0,1,6385,2,19,0,0
2,0,2546,2,0,0,1
2,0,2546,2,4,0,1
2,0,2546,2,26,0,0
2,1,2546,2,9,0,1
1,0,800,2,24,0,1
2,1,2561,2,24,0,1
2,0,1781,2,25,0,0
2,1,2561,2,21,0,1
0,0,2574,2,21,0,0
1,0,779,2,37,0,0
1,0,779,0,44,0,0
1,0,779,2,43,0,0
0,0,6467,2,7,0,1
2,0,2604,2,33,0,0
0,0,2616,2,24,0,0
0,1,6404,1,31,0,1
1,1,381,2,27,1,1
0,0,6420,2,34,0,1
0,1,6434,2,58,0,0
0,0,6434,2,7,0,1
0,1,6434,0,3,0,1
0,0,6481,0,21,0,1
0,0,2641,1,21,0,0
1,1,816,2,39,0,1
1,1,816,0,43,0,1
0,1,6451,2,22,0,1
0,0,2670,2,44,0,1
0,0,6496,2,38,0,0
2,1,2362,2,32,0,1
2,1,2377,2,55,0,1
2,0,1253,1,31,1,0
0,0,2697,2,39,0,0
0,0,6468,2,35,0,1
0,0,1887,2,37,0,0
0,0,2711,0,13,0,0
0,0,2711,2,21,0,0
2,0,1902,2,20,0,0
1,1,429,0,20,0,1
0,0,2723,2,63,0,1
0,0,2393,2,36,0,0
1,0,830,0,29,0,1
1,0,830,0,36,0,1
1,0,830,2,79,0,0
1,1,830,0,30,0,1
1,1,830,0,30,0,1
2,0,2736,2,19,0,1
1,1,1811,2,33,0,1
0,0,6524,2,20,0,0
1,1,850,0,38,0,1
2,1,2411,2,7,0,1
2,1,2411,2,58,0,1
2,0,2411,2,33,0,0
0,1,6482,1,3,0,1
2,0,1914,2,39,0,1
2,0,1829,2,37,0,1
0,0,4576,2,32,0,0
0,0,2440,2,28,0,1
0,0,6509,2,38,0,0
0,0,2455,1,21,0,0
0,1,6525,2,18,0,1
0,1,6541,2,15,0,0
1,0,799,2,44,0,0
0,0,2764,2,44,0,1
1,0,1927,2,36,0,0
0,0,2777,2,28,0,1
2,0,2777,2,15,0,0
0,0,2794,2,45,0,0
0,0,2806,2,26,0,0
0,1,4593,1,46,0,1
0,0,4608,2,25,0,0
0,1,4577,1,46,0,0
0,1,4594,2,15,0,0
0,1,4609,2,37,0,0
0,0,4627,2,20,0,0
0,1,4641,1,45,0,0
0,1,4641,2,7,0,0
0,1,4641,2,5,0,0
2,1,2501,2,38,0,1
2,0,2823,2,30,0,0
2,0,2832,2,28,0,1
2,0,2832,2,0,0,1
2,1,2832,2,20,0,1
0,0,1856,2,41,0,0
2,1,2849,2,18,0,1
2,0,1305,2,29,1,0
2,0,1226,2,19,0,0
2,0,1960,2,34,0,0
1,1,382,2,36,0,1
2,1,2516,2,54,0,1
2,0,1975,2,19,0,0
2,0,2530,2,21,0,0
2,1,1975,2,23,0,1
1,1,6156,0,35,0,1
1,0,863,2,34,0,0
0,0,4666,2,22,0,1
0,0,2863,0,24,0,1
2,1,2575,2,18,0,1
2,0,1239,0,24,0,0
1,1,1254,2,33,0,1
0,0,2590,2,24,0,0
0,1,4680,2,18,0,1
0,1,4665,2,19,0,1
0,0,2888,0,43,0,1
0,1,4696,2,44,0,1
1,0,104,0,25,0,1
1,1,104,0,25,0,1
1,1,6156,0,23,0,1
2,0,1869,2,23,0,0
2,0,2906,2,20,0,0
2,0,2906,2,2,0,1
0,0,1989,2,26,0,0
0,1,4695,1,38,0,1
0,0,4695,2,1,0,0
0,0,4695,2,12,0,1
0,1,4695,1,2,0,0
0,1,4695,1,25,0,0
0,1,4695,0,1,0,1
0,1,4695,0,0,0,1
1,0,6156,0,54,0,1
0,0,1886,2,21,0,0
2,0,1901,2,19,0,0
0,0,2656,1,24,0,0
0,1,4722,2,20,0,0
0,0,2671,2,23,0,1
0,0,2685,0,29,0,1
0,0,2023,2,14,0,1
0,0,6156,2,19,0,0
0,0,2951,0,23,0,0
0,0,2965,2,62,0,0
0,0,2994,2,23,0,0
1,0,876,0,65,0,0
2,0,3007,2,47,0,1
1,0,815,0,67,0,0
1,1,815,0,14,0,1
1,0,815,2,41,0,0
0,1,4723,2,14,0,1
0,1,4734,2,19,0,0
0,0,2765,0,22,0,0
1,1,56,2,34,0,1
1,0,56,0,65,0,0
1,1,6156,0,42,0,1
1,1,1306,0,22,0,1
1,1,416,0,54,0,1
1,0,416,2,34,0,0
1,1,416,2,27,0,1
2,0,1309,0,67,0,0
1,0,849,2,33,0,1
0,1,4765,1,30,0,0
0,0,4782,2,22,0,0
2,0,2795,1,35,0,1
2,0,2795,2,23,0,0
0,0,4796,2,49,0,0
1,0,480,0,36,0,0
1,1,480,2,31,0,1
1,1,430,0,54,0,1
0,1,4811,2,0,0,0
0,0,4811,2,28,0,0
0,0,4811,2,54,0,0
0,1,4811,1,10,0,0
0,0,4811,0,0,0,1
0,1,4811,1,7,0,1
0,1,4733,2,25,0,0
1,0,2064,0,37,0,0
1,1,2064,0,15,0,1
0,1,2064,2,26,0,1
1,0,2064,0,7,0,1
0,0,2807,2,30,0,0
0,0,3062,2,19,0,1
1,0,69,2,30,0,0
0,0,3075,2,21,0,0
0,0,4823,1,21,0,0
2,1,3090,2,59,0,1
1,1,934,0,28,0,1
0,0,3116,2,32,0,0
0,1,4749,2,19,0,1
0,1,4764,2,7,0,0
0,0,3131,0,16,0,0
1,0,119,2,31,1,0
1,0,119,2,30,0,0
1,1,119,2,26,0,1
0,1,4835,1,20,0,1
0,1,4781,1,24,0,0
0,0,4810,1,39,0,0
2,0,2824,0,19,0,1
2,1,2824,0,27,0,1
0,0,2833,2,34,0,0
1,1,1292,0,28,0,1
0,0,2850,2,29,0,0
2,1,2864,1,38,0,1
1,0,89,0,28,0,0
2,1,2876,2,1,0,1
1,0,891,0,36,1,1
0,0,2889,2,31,0,0
0,0,4850,2,1,0,1
0,0,2080,2,31,0,0
2,0,2924,2,10,0,1
2,0,2924,2,28,0,0
2,0,2924,2,42,0,0
2,0,2924,2,0,0,1
2,0,2937,1,41,0,0
2,1,2937,2,0,0,1
2,0,2937,2,0,0,1
2,1,3176,2,59,0,1
0,0,2106,2,13,0,0
1,0,2123,0,24,0,0
0,1,4834,2,20,0,0
1,0,445,2,71,1,1
0,1,4863,1,23,0,1
0,0,2966,0,15,0,1
0,0,4876,2,18,0,0
0,0,2995,2,19,0,1
0,1,4889,0,4,0,1
0,0,6156,0,42,0,1
2,0,3021,2,51,0,0
0,1,4849,2,13,0,1
0,0,6156,2,27,0,1
0,0,3031,2,42,0,0
0,0,3031,2,41,0,1
0,0,3191,1,21,0,1
0,0,3206,2,31,0,1
1,1,6156,0,36,0,1
0,0,3236,2,31,0,0
0,0,4906,0,14,0,0
2,0,3045,1,32,1,0
1,0,463,2,32,0,0
0,0,4888,2,27,0,0
1,0,472,0,57,0,0
0,1,4920,2,13,0,0
2,1,3263,2,30,0,1
2,1,3263,2,14,0,1
1,0,481,2,27,0,1
1,1,481,0,32,0,1
2,1,2134,2,54,0,1
0,0,3277,0,23,0,0
0,1,134,0,38,0,1
0,1,4950,2,32,0,1
0,0,1959,2,24,0,0
0,1,4977,2,36,0,0
0,0,4977,2,11,0,0
0,1,4977,2,6,0,0
1,1,505,0,36,0,1
1,1,505,0,22,0,1
0,0,3091,2,28,0,0
0,1,4994,2,37,0,1
0,0,3103,2,55,0,0
0,0,4935,1,28,0,0
1,0,4,2,20,0,1
0,0,3332,2,16,0,0
0,0,3117,2,19,0,0
0,0,5006,2,38,0,0
0,0,3132,2,35,0,0
1,1,904,0,33,0,1
2,0,1307,1,37,1,0
0,0,6156,2,46,0,0
1,0,1308,2,41,0,0
0,0,4949,2,13,0,0
0,1,5035,2,31,0,0
0,1,5035,0,52,0,1
1,0,925,2,48,0,0
1,0,925,0,27,0,1
2,0,3364,2,16,0,0
0,1,4976,0,32,0,1
0,1,5053,2,25,0,0
0,0,3386,2,26,0,1
0,1,4993,2,44,0,0
2,0,3147,2,32,0,1
0,0,3396,2,18,0,1
0,1,5067,0,23,0,0
1,0,933,2,44,0,0
2,0,1311,1,29,0,0
0,0,3160,0,19,0,1
1,0,495,0,41,0,0
1,0,495,2,28,0,0
0,1,5096,2,19,0,1
2,0,3401,2,32,1,0
0,0,3401,2,74,0,1
1,0,510,2,31,0,1
1,0,2001,0,38,0,0
0,0,5111,2,20,0,0
0,0,2137,2,24,0,0
0,0,3408,1,26,0,0
0,1,5124,1,44,0,0
1,1,504,0,33,0,1
1,0,504,0,31,0,0
1,0,947,0,28,0,1
1,1,512,2,22,0,1
0,0,2138,2,33,0,0
2,0,3410,2,34,0,0
2,1,3410,2,11,0,1
2,1,3410,2,41,0,1
1,0,514,0,30,0,1
1,0,514,2,30,0,0
0,0,5141,2,25,0,0
0,1,5034,1,31,0,1
0,0,3412,2,38,0,0
0,1,5052,2,15,0,1
0,0,3413,2,19,0,1
2,1,6156,2,29,0,1
1,0,943,2,30,0,1
1,0,943,2,29,0,0
0,0,3414,2,36,0,0
0,0,3222,2,24,0,0
0,0,2139,2,30,0,1
0,0,5181,2,0,0,1
0,1,5066,2,15,0,1
0,0,5083,2,38,0,1
0,0,3416,2,13,0,0
2,0,3417,2,18,0,0
0,0,5095,2,16,0,0
0,0,5095,0,8,0,0
0,0,3420,2,19,0,1
0,0,5110,0,26,0,0
0,1,5140,0,15,0,1
0,1,5198,1,38,0,1
2,0,3264,2,45,0,0
0,0,3422,1,48,0,0
0,1,5211,0,17,0,0
0,0,2143,2,28,0,1
2,1,3428,2,41,0,1
0,0,2146,2,19,0,0
0,0,5151,0,14,0,1
1,1,509,2,21,0,1
1,1,509,2,48,0,1
2,0,3305,2,19,0,0
0,0,3322,2,29,0,0
0,0,2022,2,20,0,0
2,1,3430,2,44,0,1
0,1,5166,2,19,0,1
0,1,5180,2,64,0,0
0,0,2034,2,21,0,0
0,0,2063,0,32,0,1
0,1,5222,2,20,0,0
0,0,3432,2,24,0,0
1,0,516,2,44,0,1
0,1,5210,1,57,0,1
0,0,5210,2,51,0,0
0,1,5268,0,34,0,1
0,0,5283,2,45,0,0
0,0,3346,2,24,0,0
0,0,5283,2,23,0,0
0,1,5283,2,30,0,1
0,0,3346,0,20,0,0
0,1,5283,2,22,0,1
0,1,5283,1,28,0,0
0,1,5283,2,71,0,1
0,0,2079,0,18,0,1
0,0,3433,2,16,0,0
0,0,5291,2,28,0,0
0,0,2148,2,36,0,1
0,0,5221,2,6,0,0
0,0,3356,1,26,0,0
0,1,5293,2,27,0,0
1,0,1310,2,49,0,1
1,0,1310,2,29,0,0
1,0,1310,0,46,0,1
1,0,6156,0,35,1,0
1,1,1310,0,17,0,1
1,0,1310,0,37,0,0
0,0,3365,0,24,0,0
0,1,5295,2,47,0,0
0,0,3373,2,26,0,0
1,1,944,0,46,0,1
2,0,3379,2,27,0,0
1,0,945,2,56,0,1
2,0,1313,2,18,0,0
0,1,5297,2,15,0,0
2,0,3387,0,3,0,1
2,0,3387,2,42,0,0
